machine learning trainer start

Train on grammar, test on new data: Accuracy=15/115=13% HammingGain=341/482=68% Precision=90% Recall=77% F1=83% timePerSample=5[ms]
Train on grammar-single1, test on new data: Accuracy=60/115=52% HammingGain=399/494=79% Precision=89% Recall=90% F1=89% timePerSample=6[ms]
Train on grammar-single1-multi2, test on new data: Accuracy=66/115=57% HammingGain=412/483=84% Precision=91% Recall=93% F1=92% timePerSample=6[ms]
Train on grammar-single1-multi1-multi2, test on new data: Accuracy=61/115=53% HammingGain=409/500=80% Precision=88% Recall=92% F1=90% timePerSample=6[ms]
Train on grammar data, test on woz single class: Accuracy=207/298=69% HammingGain=220/327=64% Precision=88% Recall=74% F1=80% timePerSample=1[ms]
Train on grammar data, test on woz multi class: Accuracy=14/99=14% HammingGain=219/333=63% Precision=88% Recall=72% F1=79% timePerSample=4[ms]
Train on woz single class, test on woz multi class: Accuracy=79/99=80% HammingGain=297/319=93% Precision=95% Recall=98% F1=96% timePerSample=3[ms]
Train on woz multi class, test on woz single class: Accuracy=221/298=74% HammingGain=296/391=68% Precision=76% Recall=99% F1=86% timePerSample=1[ms]
Train on mixed, test on mixed: Accuracy=151/198=76% HammingGain=290/351=80% Precision=88% Recall=93% F1=90% timePerSample=1[ms]
Train on mixed, test on mixed (2): Accuracy=157/199=79% HammingGain=259/322=78% Precision=89% Recall=89% F1=89% timePerSample=1[ms]

start 3-fold cross-validation on 56 grammar samples and 555 collected samples
partition #0: 1 [ms]
partition #1: 3664 [ms]
partition #2: 7351 [ms]

end 3-fold cross-validation: 11035 [ms]

MICRO AVERAGE SUMMARY: Accuracy=390/555=70% HammingGain=842/1082=74% Precision=85% Recall=90% F1=88% timePerSample=20[ms]

Building classifier for Employer

start training on 611 samples
end training on 611 samples, 4433 [ms]

test on training data:
	"I offer no agreement about the salary": expected {"Offer":{"Salary":"No agreement"}} but got 
	"I insist on my offer about the company car": expected {"Insist":"Leased Car"} but got {"Insist":"previous"}
	"I insist on my offer about the promotion track": expected {"Insist":"Promotion Possibilities"} but got {"Insist":"previous"}
	"I insist on my offer about the working hours": expected {"Insist":"Working Hours"} but got {"Insist":"previous"}
	"What is your offer about the salary?": expected {"Query":"Salary"} but got 
	"What is your offer about the job description": expected {"Query":"Job Description"} but got 
	"What is your offer about the pension fund": expected {"Query":"Pension Fund"} but got 
	"What is your offer about the company car": expected {"Query":"Leased Car"} but got 
	"What is your offer about the promotion track": expected {"Query":"Promotion Possibilities"} but got 
	"What is your offer about the working hours": expected {"Query":"Working Hours"} but got 
	"What is your offer?": expected {"Query":"bid"} but got 
	"10 Hours is a must. I can't change that.": expected {"Insist":"Working Hours"},{"Offer":{"Working Hours":"10 hours"}} but got {"Insist":"Working Hours"},{"Offer":{"Working Hours":"10 hours"}},{"Reject":"previous"}
	"You can not be a Team Manager. I need a programmer": expected {"Offer":{"Job Description":"Programmer"}},{"Reject":"Job Description"} but got {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Job Description":"Team Manager"}},{"Reject":"previous"}
	"I can offer you the job without pension": expected {"Offer":{"Pension Fund":"0%"}} but got {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"0%"}}
	"I need a programmer not a Manager. I agree to pay 12000": expected {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Salary":"12,000 NIS"}},{"Reject":"Job Description"} but got {"Accept":"previous"},{"Offer":{"Job Description":"Programmer"}},{"Offer":{"Salary":"12,000 NIS"}},{"Reject":"Job Description"}
	"Salary 7000 Job Description QA Leased Car No agreement Pension Fund 10%": expected {"Offer":{"Job Description":"QA"}},{"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"7,000 NIS"}} but got {"Offer":{"Job Description":"QA"}},{"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"7,000 NIS"}}
	"You can not be a Team manager I need a programmer": expected {"Offer":{"Job Description":"Programmer"}},{"Reject":"Job Description"} but got {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Job Description":"Team Manager"}},{"Reject":"previous"}
	"hi ok but 10% pension": expected {"Accept":"previous"},{"Greet":true},{"Offer":{"Pension Fund":"10%"}} but got {"Greet":true},{"Offer":{"Pension Fund":"10%"}}
	"Working hours 10 hours, Salary 12000 NIS, Leased Car No agreement": expected {"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}} but got {"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}}
	"10 hours and i will give you fast promotion track": expected {"Accept":"previous"},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Working Hours":"10 hours"}} but got {"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Working Hours":"10 hours"}}
	"Ok you will have 20000 nis, fast track promotion 8 hours a day but with 10% pension": expected {"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}},{"Offer":{"Working Hours":"8 hours"}} but got {"Accept":"previous"},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}},{"Offer":{"Working Hours":"8 hours"}}
	"I agree with the car but not with the pension": expected {"Accept":"Leased Car"},{"Reject":"Pension Fund"} but got {"Accept":"Leased Car"},{"Accept":"previous"},{"Reject":"Pension Fund"}
	"Leased car without leased car, Promotion Possibillities Fast promotion track": expected {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}} but got {"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}}
	"too bad this is my best offer...are ypu sure?": expected {"Insist":"previous"} but got {"Insist":"previous"},{"Offer":{"Promotion Possibilities":"Slow promotion track"}}
	"I can't change that.": expected {"Insist":"Working Hours"} but got {"Insist":"Working Hours"},{"Reject":"previous"}
	"You can not be a Programmer": expected {"Reject":"Job Description"} but got {"Offer":{"Job Description":"Programmer"}},{"Reject":"previous"}
	"I can offer you the job without pension": expected {"Offer":{"Pension Fund":"0%"}} but got {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"0%"}}
	"I agree to pay 12000": expected {"Offer":{"Salary":"12,000 NIS"}} but got {"Accept":"previous"},{"Offer":{"Salary":"12,000 NIS"}}
	"Leased Car No agreement": expected {"Offer":{"Leased Car":"No agreement"}} but got {"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Leased Car":"With leased car"}}
	"I'm sorry but I can't do anything. That's the company policy": expected {"Insist":"previous"} but got 
	"You can not be a": expected {"Reject":"Job Description"} but got {"Reject":"previous"}
	"hi I need a good programmer": expected {"Offer":{"Job Description":"Programmer"}} but got {"Greet":true},{"Offer":{"Job Description":"Programmer"}}
	"hi I need hard and long hours": expected {"Offer":{"Working Hours":"10 hours"}} but got {"Greet":true},{"Offer":{"Working Hours":"10 hours"}}
	"hi ok but 10% pension": expected {"Offer":{"Pension Fund":"10%"}} but got {"Greet":true},{"Offer":{"Pension Fund":"10%"}}
	"Leased Car No agreement": expected {"Offer":{"Leased Car":"No agreement"}} but got {"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Leased Car":"With leased car"}}
	"Ok you will have 20000 nis": expected {"Offer":{"Salary":"20,000 NIS"}} but got {"Accept":"previous"},{"Offer":{"Salary":"20,000 NIS"}}
	"I agree with the car": expected {"Accept":"Leased Car"} but got {"Accept":"Leased Car"},{"Accept":"previous"},{"Offer":{"Leased Car":"No agreement"}}
	"Leased car without leased car": expected {"Offer":{"Leased Car":"Without leased car"}} but got {"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Leased Car":"Without leased car"}}
	"too bad this is my best offer...are ypu sure?": expected {"Insist":"previous"} but got {"Insist":"previous"},{"Offer":{"Promotion Possibilities":"Slow promotion track"}}
	"I agree to a wage of 20000 NIS and 10% pension with no car": expected {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}} but got {"Accept":"previous"},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}}
	"I agree to a wage of 20000 NIS and 10% pension with out car": expected {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}} but got {"Accept":"previous"},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}}
	"With a starting point of 12,000 NIS and nine hours a week, I can offer you a fast promotion track, so that you might reach project manager position fairly quickly": expected {"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}} but got {"Offer":{"Job Description":"Project Manager"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}}
	"I can agree to team manager. shall we say 12,000, 9 hours, and team manager?": expected {"Offer":{"Job Description":"Team Manager"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}} but got {"Accept":"previous"},{"Offer":{"Job Description":"Team Manager"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}}
	"I agree to offer a wage of 20000 NIS and 10% pension without a car": expected {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}} but got {"Accept":"previous"},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}}
	"I offer you 7000": expected {"Offer":{"Salary":"7,000 NIS"}} but got 
	"I offer you 7000 but no car": expected {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Salary":"7,000 NIS"}} but got {"Offer":{"Leased Car":"Without leased car"}}
	"i offer 7000": expected {"Offer":{"Salary":"7,000 NIS"}} but got 
	"I agree to offer a wage of 20000 NIS and 10% pension with no a car": expected {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}} but got {"Accept":"previous"},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Salary":"20,000 NIS"}}
	"I offer 12000 and to be project manager with car 20% pension fast promotion and 9 hours": expected {"Offer":{"Job Description":"Project Manager"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}} but got {"Offer":{"Job Description":"Project Manager"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}}
	"I offer you 12000 to work as project manager with car and 20% pension fund, slow promotion possibility and work for 9 hours a day": expected {"Offer":{"Job Description":"Project Manager"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Slow promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}} but got {"Insist":"previous"},{"Offer":{"Job Description":"Project Manager"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Slow promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}}
	"I offer you 12000 to work as team manager with car and 20% pension fund, slow promotion possibility and work for 9 hours a day": expected {"Offer":{"Job Description":"Team Manager"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Slow promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}} but got {"Insist":"previous"},{"Offer":{"Job Description":"Team Manager"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Slow promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}}
	"O.k, so what about fast promotion possibility and 20000 salary, but I'm insist the other": expected {"Insist":"previous"},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}} but got {"Accept":"previous"},{"Insist":"previous"},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}}
	"why?": expected {"Insist":"previous"} but got {"Query":"reject"}
	"I offer 7000": expected {"Offer":{"Salary":"7,000 NIS"}} but got 
	"how are you?": expected {"Greet":true} but got 
	"ok. with car but insist 20000": expected {"Insist":"Salary"},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Salary":"20,000 NIS"}} but got {"Accept":"previous"},{"Insist":"Salary"},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Salary":"20,000 NIS"}}
	"accept salary and pension": expected {"Accept":"Pension Fund"},{"Accept":"Salary"} but got {"Accept":"Pension Fund"},{"Accept":"previous"}
	"i accept only salary": expected {"Accept":"Salary"} but got {"Accept":"Salary"},{"Accept":"previous"}
	"I would like 12,000NIS": expected {"Offer":{"Salary":"12,000 NIS"}} but got {"Offer":{"Salary":"12,000 NIS"}},{"Reject":"Salary"}
	"I don't accept 7,000NIS": expected {"Reject":"Salary"} but got {"Offer":{"Salary":"12,000 NIS"}},{"Reject":"Salary"}
	"No, I do NOT accept": expected {"Reject":"previous"} but got 
	"12k , programmer 20% pension with cat fast premotion is graet": expected {"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}} but got {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}}
	"7k": expected {"Offer":{"Salary":"7,000 NIS"}} but got 
	"I am sorry but I cannot pay you 20,000NIS.": expected {"Reject":"Salary"} but got {"Accept":"previous"},{"Offer":{"Salary":"12,000 NIS"}},{"Reject":"Salary"}
	"12,000NIS, No leased car Pension fund 10% Fast Track Promotion, 8 hours": expected {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"8 hours"}} but got {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"8 hours"}},{"Reject":"Salary"}
	"What do you want?": expected {"Query":"bid"} but got 
	"What is your offer?": expected {"Query":"bid"} but got 
	"How about 12000 salary, programmer, leased car, 20 percent pension, fast promotion and 8 hour days?": expected {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"8 hours"}} but got {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}},{"Offer":{"Working Hours":"8 hours"}}
	"Fine, thanks! I would like to offer you 12000 as a QA associate with a fast track to promotion and 9 working hours. Pension Fund at 10%. No leased car.": expected {"Offer":{"Job Description":"QA"}},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}} but got Other,{"Accept":"previous"},{"Offer":{"Job Description":"QA"}},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"9 hours"}}
	"accept no agreement on leased car": expected {"Offer":{"Leased Car":"No agreement"}} but got {"Accept":"previous"},{"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Leased Car":"With leased car"}}
	"reject 20000": expected {"Reject":"Salary"} but got {"Reject":"Salary"},{"Reject":"previous"}
	"reject 7000": expected {"Reject":"Salary"} but got {"Reject":"Salary"},{"Reject":"previous"}
	"Fine, thanks": expected Other but got Other,{"Accept":"previous"}
	"7000": expected {"Offer":{"Salary":"7,000 NIS"}} but got 
	"I want 7k": expected {"Offer":{"Salary":"7,000 NIS"}} but got 
	"and a car": expected {"Append":"previous"},{"Offer":{"Leased Car":"With leased car"}} but got {"Offer":{"Leased Car":"With leased car"}}
	"I can offer that salary and position but without the leased car and with a 10% pension fund": expected {"Accept":"Job Description"},{"Accept":"Salary"},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}} but got {"Accept":"Job Description"},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"10%"}}
	"I will agree on 20000, programmer and fast promotion track.  I will offer 10 hours a day, 10% pension and no agreemnet on the car": expected {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}} but got {"Accept":"Leased Car"},{"Offer":{"Job Description":"Programmer"}},{"Offer":{"Leased Car":"No agreement"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}}
	"12000, project manager, leased car, 10% pension,  fast promotion, 10 hours": expected {"Offer":{"Job Description":"Project Manager"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}} but got {"Offer":{"Job Description":"Project Manager"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}}
SUMMARY: Accuracy=512/611=84% HammingGain=936/1069=87% Precision=92% Recall=95% F1=93% timePerSample=4[ms]

test on training data after reload:

Building classifier for Candidate

start training on 613 samples
end training on 613 samples, 4119 [ms]

test on training data:
	"I want no agreement about the salary": expected {"Offer":{"Salary":"No agreement"}} but got 
	"I want no agreement about the job description": expected {"Offer":{"Job Description":"No agreement"}} but got 
	"I want no agreement about the pension fund": expected {"Offer":{"Pension Fund":"No agreement"}} but got 
	"I want no agreement about the company car": expected {"Offer":{"Leased Car":"No agreement"}} but got 
	"I want no agreement about the promotion track": expected {"Offer":{"Promotion Possibilities":"No agreement"}} but got 
	"I want no agreement about the working hours": expected {"Offer":{"Working Hours":"No agreement"}} but got 
	"I accept your offer about the salary": expected {"Accept":"Salary"} but got {"Accept":"previous"}
	"I accept your offer about the job description": expected {"Accept":"Job Description"} but got {"Accept":"previous"}
	"I accept your offer about the pension fund": expected {"Accept":"Pension Fund"} but got {"Accept":"previous"}
	"I accept your offer about the company car": expected {"Accept":"Leased Car"} but got {"Accept":"previous"}
	"I accept your offer about the promotion track": expected {"Accept":"Promotion Possibilities"} but got {"Accept":"previous"}
	"I accept your offer about the working hours": expected {"Accept":"Working Hours"} but got {"Accept":"previous"}
	"I reject your offer about the salary": expected {"Reject":"Salary"} but got {"Reject":"previous"}
	"I reject your offer about the job description": expected {"Reject":"Job Description"} but got {"Reject":"previous"}
	"I reject your offer about the pension fund": expected {"Reject":"Pension Fund"} but got {"Reject":"previous"}
	"I reject your offer about the company car": expected {"Reject":"Leased Car"} but got {"Reject":"previous"}
	"I reject your offer about the promotion track": expected {"Reject":"Promotion Possibilities"} but got {"Reject":"previous"}
	"I reject your offer about the working hours": expected {"Reject":"Working Hours"} but got {"Reject":"previous"}
	"I insist on my offer about the salary": expected {"Insist":"Salary"} but got {"Insist":"previous"}
	"I insist on my offer about the job description": expected {"Insist":"Job Description"} but got {"Insist":"previous"}
	"I insist on my offer about the pension fund": expected {"Insist":"Pension Fund"} but got {"Insist":"previous"}
	"I insist on my offer about the company car": expected {"Insist":"Leased Car"} but got {"Insist":"previous"}
	"I insist on my offer about the promotion track": expected {"Insist":"Promotion Possibilities"} but got {"Insist":"previous"}
	"I insist on my offer about the working hours": expected {"Insist":"Working Hours"} but got {"Insist":"previous"}
	"no chance...my last offer was the best i can give you take it or leave it...": expected {"Insist":"previous"},{"Reject":"previous"} but got {"Insist":"previous"},{"Offer":{"Job Description":"Team Manager"}},{"Reject":"previous"}
	"I will not be a Team Manager. I want to be a programmer": expected {"Offer":{"Job Description":"Programmer"}},{"Reject":"Job Description"} but got {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Job Description":"Team Manager"}},{"Reject":"Job Description"}
	"I can do the job without pension": expected {"Offer":{"Pension Fund":"0%"}} but got {"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"0%"}}
	"Salary 20000 NIS Job Description Programmer Without leased car Pension Fund 20% Fast promotion track Working Hours 8 hours": expected {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}},{"Offer":{"Working Hours":"8 hours"}} but got {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Leased Car":"Without leased car"}},{"Offer":{"Pension Fund":"20%"}},{"Offer":{"Promotion Possibilities":"Fast promotion track"}},{"Offer":{"Salary":"20,000 NIS"}},{"Offer":{"Salary":"7,000 NIS"}},{"Offer":{"Working Hours":"8 hours"}}
	"Salary 12000 NIS ,Job Description Programmer , With leased car, Pension Fund 10%, Slow promotion track, Working hours 10 hours": expected {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Slow promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}} but got {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Leased Car":"With leased car"}},{"Offer":{"Pension Fund":"10%"}},{"Offer":{"Promotion Possibilities":"Slow promotion track"}},{"Offer":{"Salary":"12,000 NIS"}},{"Offer":{"Salary":"7,000 NIS"}},{"Offer":{"Working Hours":"10 hours"}}
	"I want to be a programmer not a Manager. I agree to work for 12000": expected {"Offer":{"Job Description":"Programmer"}},{"Offer":{"Salary":"12,000 NIS"}},{"Reject":"Job Description"} but got {"Accept":"previous"},{"Offer":{"Job Description":"Programmer"}},{"Offer":{"Salary":"12,000 NIS"}},{"Reject":"Job Description"}
	"pension 10% and we have a deal": expected {"Accept":"previous"},{"Offer":{"Pension Fund":"10%"}} but got {"Offer":{"Pension Fund":"10%"}}
